,sequence,labels,scores
506,"Welcome to America at the dawn of the millennium. Do you know who is pulling the strings?Delta Green knows. Things from beyond space and time that lurk and titter in the shadows, the slow rot at the core of humanity, the dark stars that whirl madly above - these are the true masters of the world. Delta Green has been figthing them since the 1928 Raid on Innsmouth, and the fight still rages on.This book is your weapon and your guide, the largest Cthulhu sourcebook ever.Inside you'll find a secret history of the 20th century, and the movers and the shakers who are players in the game: Delta Green, the outlaw conspiracy working inside the U.S. government to fight the darkness; Majestic 12, the clandestine agency that cuts deals with aliens and reports to no one; SaucerWatch, a UFO study group closer to the truth than they know; the Karotechia, immortal Nazis who serve a risen Hitler; and the Fate, an occult criminal syndicate that knows where the bodies are buried. Plus: new skills, spells, weapons, Mythos tomes; profiles of thirty-six real-world intelligence and law-enforcement agencies, with character templates for each; a look at Mi-Go biology, philosophy, and operations; analysis of the Cthulhu Mythos in the modern day; a factual history of the U.S. intelligence and law-enforcement community; dozens of useful NPCs; campaign-construction guidelines, two scenarios, a short campaign, and more.","['weddings', 'divorce', 'relationships', 'death', 'family', 'break ups', 'university', 'friendship']","[0.5329986810684204, 0.5133435130119324, 0.4294340908527374, 0.22982150316238403, 0.21583592891693115, 0.17799392342567444, 0.14492180943489075, 0.11360104382038116]"
507,"A New York Times bestseller! “Don’t miss this dazzling tour de force.”—Katherine Applegate, Newbery Medal winning author of The One and Only IvanThis gripping novel about survival and family is based on the real story of one wolf’s incredible journey to find a safe place to call home. Illustrated throughout, this irresistible tale by award-winning author Rosanne Parry is for fans of Sara Pennypacker’s Pax and Katherine Applegate’s The One and Only Ivan. Swift, a young wolf cub, lives with his pack in the mountains learning to hunt, competing with his brothers and sisters for hierarchy, and watching over a new litter of cubs. Then a rival pack attacks, and Swift and his family scatter.Alone and scared, Swift must flee and find a new home. His journey takes him a remarkable one thousand miles across the Pacific Northwest. The trip is full of peril, and Swift encounters forest fires, hunters, highways, and hunger before he finds his new home.Inspired by the extraordinary true story of a wolf named OR-7 (or Journey), this irresistible tale of survival invites readers to experience and imagine what it would be like to be one of the most misunderstood animals on earth. This gripping and appealing novel about family, courage, loyalty, and the natural world is for fans of Fred Gipson’s Old Yeller and Katherine Applegate’s Endling.Includes black-and-white illustrations throughout and a map as well as information about the real wolf who inspired the novel.Plus don't miss Rosanne Parry's stand-alone companion novel, A Whale of the Wild.","['family', 'weddings', 'divorce', 'relationships', 'university', 'friendship', 'break ups', 'death']","[0.629859983921051, 0.5715564489364624, 0.5478588938713074, 0.5268222689628601, 0.3956614136695862, 0.37052032351493835, 0.35255005955696106, 0.329073429107666]"
508,"Fourteen-year old Hannah Woods suffers from panic attacks. Overmedicated by a family who has a secret, Hannah lives in a world full of anxiety and fear. This is her story; her journey from the depths of Black Hollow’s darkness, the wealthy old-money town where she grew up, to the light of Crystal Cove and the world of her hippie grandparents. As the story opens, Hannah Woods, haunted by the neglect of an alcoholic father and the abuse of a mentally ill caretaker, is plunged into a nightmare that threatens her very existence. After her father drowns, Hannah’s world spirals out of control as she is forced to move to the other side of the island where her newly discovered hippie grandparents live. Hannah suffers from Post-Traumatic Stress Disorder. She is addicted to prescription drugs; drugs given to her for anxiety and depression; drugs given to her to keep her silent. Her heroic journey begins the moment she enters the world of Crystal Cove where she struggles to navigate the emotional world of adolescence and addiction. With the help of her Grandma Pearl and her Grandpa Hollis, the talents of a remarkable therapist, Dr. Olivia Hope, and a new best friend, Emma Matthews, Hannah discovers her amazing self. The evolution of Hannah’s character will empower other teenagers who find themselves addicted to drugs or who have experienced the devastating effects of physical, emotional, and/or psychological abuse and neglect.","['weddings', 'university', 'family', 'relationships', 'divorce', 'break ups', 'death', 'friendship']","[0.31881919503211975, 0.2637367844581604, 0.13012725114822388, 0.11740904301404953, 0.10607294738292694, 0.08175583183765411, 0.05295361950993538, 0.030978640541434288]"
509,"Maka is a weapon meister, determined to turn her partner, a living scythe named Soul Eater, into a powerful death scythe - the ultimate weapon of Death himself! Charged with the task of collecting and devouring the tainted souls of ninety-nine humans and one witch, Maka and her fellow meisters strive to master their weapons as they face off against the bizarre and dangerous minions of the underworld. But the meisters' own personal quirks may prove a bigger obstacle than any sultry enchantress!","['death', 'weddings', 'family', 'university', 'break ups', 'divorce', 'relationships', 'friendship']","[0.9836217761039734, 0.7261848449707031, 0.1576766073703766, 0.12071733176708221, 0.06662686169147491, 0.034700702875852585, 0.027305126190185547, 0.026397351175546646]"
510,"I want to change. I need to change. I'm gradually losing touch with myself.

Adultery, the provocative new novel by Paulo Coelho, best-selling author of The Alchemist and Eleven Minutes, explores the question of what it means to live life fully and happily, finding the balance between life's routine and the desire for something new.","['break ups', 'relationships', 'divorce', 'family', 'death', 'university', 'friendship', 'weddings']","[0.15020854771137238, 0.09350191056728363, 0.07889185100793839, 0.06694024056196213, 0.042931001633405685, 0.04052714630961418, 0.027457231655716896, 0.025612154975533485]"
511,"Includes surefire tips for business and personal success, in a concise, easy-to-follow, down-to-earth guide. Spiegel, an award-winning motivational speaker and consultant, reveals how to gain immediate trust, keep confidence high, give and receive compliments to gain power and much more.","['relationships', 'friendship', 'family', 'weddings', 'university', 'divorce', 'break ups', 'death']","[0.24624650180339813, 0.05109722167253494, 0.041153885424137115, 0.034346263855695724, 0.01767915114760399, 0.013462241739034653, 0.004607892129570246, 0.001791875110939145]"
512,"Ian MacKenzie's been a cranky pain in the *ss for going on three years now, still bitter over his failed engagement and his life on the ranch. Enter Candice, his sister-in-law Andie's best friend, out for a two-week visit as they await the birth of Ian's first niece.Candice is a successful business owner, an expert with hair and fashion, determined to look gorgeous even while slipping and sliding all over the Oregon winter ice. Without even trying, she somehow manages to get right up under Ian's skin and make him say and do things he would never normally say or do.When the two of them end up spending time together, the sparks and the snow flies. The question is whether they're going to do anything about it, and what will happen to the rest of their lives if they do.","['relationships', 'friendship', 'family', 'break ups', 'weddings', 'university', 'divorce', 'death']","[0.8985324501991272, 0.6957767605781555, 0.6808218359947205, 0.4257458448410034, 0.20951490104198456, 0.1624576598405838, 0.11784789711236954, 0.08030685037374496]"
513,"Jon Marshall, a thirtysomething plastic surgeon, has come a long way. He's a partner in his own medical practice, owns a house in the suburbs, and cruises town in a BMW. He also has a six-month-old daughter, Lily, affectionately known as the Bean.But Jon's life hasn't taken the path he thought it would in his twenties. Newly single, he's facing the challenges of dating in a post-Duran-Duran world. His computer has been seized by surly software. He accidentally peed on his date's cat. And while the Bean reminds him of life's possibilities every day, his new running buddy, Ashley, reminds him that relationship rules were made to be broken.","['relationships', 'friendship', 'family', 'break ups', 'weddings', 'divorce', 'university', 'death']","[0.9492039680480957, 0.6797792315483093, 0.6288915276527405, 0.5543858408927917, 0.5031454563140869, 0.0828637182712555, 0.07945714145898819, 0.017555788159370422]"
514,"“PLANET OF THE CAPES” part two! Monster maker Kraklow puts Superboy to the test during his first team-up with Damian Wayne’s Teen Titans. As wave after wave of Kraklow’s wicked creations try to overwhelm the Teen Titans, can Superboy turn the tide in this onslaught of enemies?","['weddings', 'university', 'family', 'divorce', 'death', 'relationships', 'break ups', 'friendship']","[0.7178784012794495, 0.1708119809627533, 0.12824074923992157, 0.08011253923177719, 0.06892714649438858, 0.04310983791947365, 0.00918530486524105, 0.005138445645570755]"
515,"Incorporating the latest research and new evidence, that leads to real answers concerning the Loch Ness monster's identity, bestselling author Steve Alten weaves a tale of horror about the most publicized and controversial creature ever imagined.","['weddings', 'death', 'university', 'family', 'relationships', 'break ups', 'divorce', 'friendship']","[0.7950038313865662, 0.21806693077087402, 0.17856061458587646, 0.059554148465394974, 0.004346195608377457, 0.0027670764829963446, 0.0024873146321624517, 0.0010097732301801443]"
516,"Such wonderful children. Such a beautiful mother. Such a lovely house. Such endless terror!It wasn't that she didn't love her children. She did. But there was a fortune at stake—a fortune that would assure their later happiness if she could keep the children a secret from her dying father.So she and her mother hid her darlings away in an unused attic.Just for a little while.But the brutal days swelled into agonizing years. Now Cathy, Chris, and the twins wait in their cramped and helpless world, stirred by adult dreams, adult desires, served a meager sustenance by an angry, superstitious grandmother who knows that the Devil works in dark and devious ways. Sometimes he sends children to do his work—children who—one by one—must be destroyed....'Way upstairs there are four secrets hidden. Blond, beautiful, innocent struggling to stay alive....","['family', 'weddings', 'death', 'relationships', 'break ups', 'divorce', 'university', 'friendship']","[0.7964860200881958, 0.682845950126648, 0.6316403746604919, 0.3900243937969208, 0.3595868945121765, 0.29744580388069153, 0.19601264595985413, 0.019131917506456375]"
517,"Following the grief and horror of her discovery of Jack the Ripper's true identity, Audrey Rose Wadsworth has no choice but to flee London and its memories. Together with the arrogant yet charming Thomas Cresswell, she journeys to the dark heart of Romania, home to one of Europe's best schools of forensic medicine... and to another notorious killer, Vlad the Impaler, whose thirst for blood became legend.But her life's dream is soon tainted by blood-soaked discoveries in the halls of the school's forbidding castle, and Audrey Rose is compelled to investigate the strangely familiar murders. What she finds brings all her terrifying fears to life once again.In this New York Times bestselling sequel to Kerri Maniscalco's haunting #1 debut Stalking Jack the Ripper, bizarre murders are discovered in the castle of Prince Vlad the Impaler, otherwise known as Dracula. Could it be a copycat killer...or has the depraved prince been brought back to life?","['weddings', 'relationships', 'death', 'family', 'university', 'divorce', 'break ups', 'friendship']","[0.7193231582641602, 0.6621555685997009, 0.3488864600658417, 0.27865153551101685, 0.14294058084487915, 0.10229303687810898, 0.030952949076890945, 0.012142405845224857]"
518,"Although he was born and raised in Massachusetts, Jack Kerouac's family was French-Canadian, a fact of which he was proud. Published in 1967, when Kerouac was at the height of his fame, this book tells the story of a ten-day visit to Paris and Brittany in search of his ancestors. On this hectic odyssey, fascinated by everything and everyone he met, from a faded French beauty in a Montparnasse gangster bar to one of his strange, foppish Breton namesakes, Kerouac experienced a feeling of transcendence, a Satori, which was to the Beat generation the culmination of all experience.","['family', 'weddings', 'relationships', 'university', 'friendship', 'divorce', 'break ups', 'death']","[0.8411382436752319, 0.7449822425842285, 0.26748988032341003, 0.18720179796218872, 0.08680091798305511, 0.03829771280288696, 0.01660812459886074, 0.008648856543004513]"
519,"A vivid, unforgettable story of an unlikely sisterhood—an emotionally powerful and haunting story of friendship that illuminates the plight of women in a traditional culture, from the author of the bestselling The Pearl That Broke Its Shell and When the Moon Is Low.For two decades, Zeba was a loving wife, a patient mother, and a peaceful villager. But her quiet life is shattered when her husband, Kamal, is found brutally murdered with a hatchet in the courtyard of their home. Nearly catatonic with shock, Zeba is unable to account for her whereabouts at the time of his death. Her children swear their mother could not have committed such a heinous act. Kamal’s family is sure she did, and demands justice. Barely escaping a vengeful mob, Zeba is arrested and jailed.Awaiting trial, she meets a group of women whose own misfortunes have led them to these bleak cells: eighteen-year-old Nafisa, imprisoned to protect her from an “honor killing”; twenty-five-year-old Latifa, a teen runaway who stays because it is safe shelter; twenty-year-old Mezghan, pregnant and unmarried, waiting for a court order to force her lover’s hand. Is Zeba a cold-blooded killer, these young women wonder, or has she been imprisoned, like them, for breaking some social rule? For these women, the prison is both a haven and a punishment; removed from the harsh and unforgiving world outside, they form a lively and indelible sisterhood.Into this closed world comes Yusuf, Zeba’s Afghan-born, American-raised lawyer whose commitment to human rights and desire to help his homeland have brought him back. With the fate this seemingly ordinary housewife in his hands, Yusuf discovers that, like the Afghanistan itself, his client may not be at all what he imagines.A moving look at the lives of modern Afghan women, The House with No Windows is astonishing, frightening, and triumphant.","['weddings', 'university', 'relationships', 'family', 'divorce', 'break ups', 'friendship', 'death']","[0.8369921445846558, 0.8088946342468262, 0.7936427593231201, 0.6359595656394958, 0.5771392583847046, 0.535025417804718, 0.23962344229221344, 0.18836723268032074]"
520,"""You need an attitude adjustment!"" Samantha Logan told Adam Rourke.She didn't care that he was rich, she didn't care that he was handsome, and she didn't care that her boss was his surrogate father.She tried to ignore the fact that his deep voice hit her behind the knees and made her feel oddly off balance. And she was sure those heart palpitations were the result of drinking two five-hour energy drinks in less than thirty minutes and definitely not from a pair of broad shoulders, green eyes and a sexy stubble.He was way too cynical, thought he knew it all, and had her reaching for three Excedrin™ and a couple of Tums™ in less than five minutes!Samantha Logan, he decided, was the proverbial sexy librarian fantasy – with dancer's legs and a curvy ass. Her blonde hair was piled precariously on top of her head, held in place by a bright yellow pencil. A few flaxen wisps had escaped, teasing against a softly rounded face. Square blue-tinted eyeglasses highlighted even bluer eyes. She was smart, sassy, way too funny – and she had no idea she was all that.When she pulled the pencil from her topknot, he watched her hair untangle and drift down to her shoulders, in a sexy-just-out-of-bed, mess-me-up-more tumble. Adam hadn't realized he was even holding his breath, until he coughed in relief.Right now, she was mad! Her barefoot angrily tapping against the carpet. And way too sexy, he tried to blink that observation away. There was nothing left to do but apologize. But she had looked him straight in the eye and insulted him!Even after two tours of duty in Fallujah, Adam wasn't sure he could handle a woman who: wrangled a team of SEALS for the Wounded Warrior Project, was banned from singing, humming or playing golf, had an oven timer that played Beethoven's Fifth, loved all things chocolate way too much, preferred puppy kisses over his, and owned a moose named Morti.There was only one thing for this Marine to do – man up, take her down and demand a zerbert – whatever the hell that was!Copyright ©2012 by Elaine Raco Chase updated version of Rules of the Game.Over 15,000 words added, new characters, plot points and enhanced, mature adult content (over eighteen, please!)","['weddings', 'university', 'relationships', 'family', 'friendship', 'divorce', 'break ups', 'death']","[0.1817767471075058, 0.1815209537744522, 0.1729680299758911, 0.1723388433456421, 0.1659909039735794, 0.16507071256637573, 0.16346119344234467, 0.16280072927474976]"
521,Stories about a goblin who haunts the local amusement park don't scare Jessica Wakefield! She can't wait to go. It will sure prove to Charlie Cashman that she's no chicken. Will the goblin get Jessica? Or will she get the goblin first?,"['weddings', 'family', 'relationships', 'university', 'divorce', 'death', 'friendship', 'break ups']","[0.7594911456108093, 0.5520123839378357, 0.16136685013771057, 0.057407137006521225, 0.048240870237350464, 0.03544553741812706, 0.03023827262222767, 0.013614488765597343]"
522,"All’s not fair in love, war, and high school journalism.Sixteen-year-old Luisa Perez is not looking to win any awards for school spirit. In fact, she and her friends make it a point to avoid all activities considered “extra-curricular.” So when her English teacher volunteers her to be an anonymous columnist for the school paper, Luisa’s first impulse is to run. But, unlike her high-school dropout sister, Luisa does want to go to college—it may be her only ticket out of a life spent working at the cowboy-themed diner where she waitresses part time—and it would be nice to have something on her applications.Her first assignment is to cover her high school's latest fundraiser, which pits the girls against the boys. Luisa will cover the events from the female POV, while another anonymous writer provides the male perspective—or, at least, that’s how it begins. The two columnists soon find themselves engaged in an epic battle of the sexes—a battle that Luisa is determined to win. Just who does this guy think he is, encouraging his peers to act like Neanderthals with their girlfriends? And why can’t Luisa shake the very sinking feeling that her new unidentified nemesis might also be her new boyfriend?","['weddings', 'relationships', 'break ups', 'family', 'death', 'divorce', 'friendship', 'university']","[0.7455199956893921, 0.673283576965332, 0.3347574472427368, 0.2811976373195648, 0.2745244801044464, 0.23720309138298035, 0.07880253344774246, 0.06378038972616196]"
523,"They call him the Devil . . .He is the most notorious laird of Scotland: fierce, cold, deadly . . . and maybe even worse. Yet Evelinde has just agreed to wed him. Anything, she thinks, is better than her cruel stepmother. Though Evelinde should be wary of the rumors, she can't help but be drawn to this warrior . . . for the Devil of the Highlands inspires a heat within her that is unlike anything she has ever known.They may call him whatever they wish, but Cullen, Laird of Donnachaidh, cares only for the future of his clan. He must find a wife, a woman to bear him sons and heed his commands. He has no need for beauty or grace, but one taste of his lovely bride's sweet lips and the sultry feel of her skin arouse an untamed passion. Perhaps there's more to marriage than he thought . . .","['relationships', 'weddings', 'family', 'death', 'university', 'friendship', 'break ups', 'divorce']","[0.8865383267402649, 0.8355733156204224, 0.7717686295509338, 0.10347284376621246, 0.09546496719121933, 0.034854575991630554, 0.03165799379348755, 0.02184496819972992]"
524,"""There’s a reason why Brewster can’t have friends – why he can’t care about too many people. Because when he cares about you, things start to happen. Impossible things that can’t be explained. I know, because they're happening to me.""When Brontë starts dating Brewster “Bruiser” Rawlins – the guy voted “Most Likely to Get the Death Penalty” her twin brother, Tennyson, isn’t surprised. But then strange things begin to occur. Tennyson and Brontë’s scrapes heal unnaturally fast, and cuts disappear before their eyes. What at first seems like their good fortune turns out to be more than they bargained for…much more.","['university', 'family', 'relationships', 'friendship', 'weddings', 'break ups', 'death', 'divorce']","[0.7377042174339294, 0.6995679140090942, 0.38153308629989624, 0.35465890169143677, 0.15678168833255768, 0.11882543563842773, 0.08089066296815872, 0.05279548838734627]"
525,This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,"['family', 'relationships', 'divorce', 'break ups', 'university', 'weddings', 'friendship', 'death']","[0.5077723264694214, 0.41787147521972656, 0.19556766748428345, 0.0977640300989151, 0.09327928721904755, 0.07931344211101532, 0.049992818385362625, 0.026699407026171684]"
526,"Roads: Book 2 Sequel to Slide  Paramedic Pete Adams lived through the year from hell watching his lover, Ash, fall apart, and the precarious balance between work and home is becoming more strained. His heart is always home, with Ash, but the dark side to his job is weighing him down.  Tattoo artist Ash Fagin is recovering from a nervous breakdown triggered by revelations about his traumatic childhood. His battle with mental illness is far from over, but with Pete by his side, he's feeling good again, so good he doesn’t notice something missing until it walks right into his living room.  Ash believes he’s had enough coincidence in his life, but when a voice from the past comes looking for him, it takes the devastating injuries of the one he loves most to convince him to let a ghost become the family he never knew he wanted.","['family', 'relationships', 'break ups', 'weddings', 'divorce', 'death', 'friendship', 'university']","[0.7927658557891846, 0.7355184555053711, 0.4332161843776703, 0.2491430640220642, 0.16627535223960876, 0.1635563224554062, 0.15476083755493164, 0.07090917229652405]"
527,"The Baby Boomer generation (known as 68ers in Europe) pulled out all stops when it came to rebelling against their elders, but were treated with kid gloves by the 'pig system' they affected to overthrow. What would happen, though, if a new generation decided to rebel against ""them?"" That's exactly what occurs when a group of young Tasmanians embark on an extended campaign of subversion, exposing the many hypocrisies of the Boomer establishment...""The Hungry Wolves of Van Diemen's Land"" is a satire that works on a number of levels. It is a book desperately needed by the Zeitgeist of this pivotal era...if you read only one novel this decade, you had better make it this one.","['weddings', 'relationships', 'family', 'university', 'friendship', 'break ups', 'divorce', 'death']","[0.8743823766708374, 0.4941926598548889, 0.44401800632476807, 0.24527038633823395, 0.13832387328147888, 0.13594122231006622, 0.10760637372732162, 0.057550977915525436]"
528,"No. 23 has a secret. In this bedsit-riddled south London wreck, lorded over by a lecherous landlord, something waits to be discovered. Yet all six residents have something to hide.Collette and Cher are on the run; Thomas is a reluctant loner; while a gorgeous Iranian asylum seeker and a 'quiet man' nobody sees try to stay hidden. And watching over them all is Vesta - or so she thinks. In the dead of night, a terrible accident pushes the neighbours into an uneasy alliance. But one of them is a killer, expertly hiding their pastime, all the while closing in on their next victim...As a cloying heatwave suffocates the city, events build to an electrifying climax in this dark, original and irresistibly compelling thriller.","['death', 'weddings', 'family', 'relationships', 'university', 'break ups', 'divorce', 'friendship']","[0.6663877367973328, 0.5314692258834839, 0.19506794214248657, 0.075540691614151, 0.05111100897192955, 0.045296330004930496, 0.03855118528008461, 0.008587738499045372]"
529,"Odysseus believed the age of heroes was over. Then he and his friend, along with a spoiled princess named Helen and her cousin Penelope, are kidnapped by pirates!Their journey leads them to Crete, where Odysseus must face the secret at the heart of the Labyrinth. There was a time when the Minotaur devoured all who entered, but now an even deadlier monster roams the maze. There Odysseus discovers the hardest part of being a hero: living long enough to tell the tale.","['friendship', 'weddings', 'family', 'death', 'relationships', 'university', 'break ups', 'divorce']","[0.6622860431671143, 0.6497477293014526, 0.39845147728919983, 0.1696850061416626, 0.13897354900836945, 0.07463876903057098, 0.056034695357084274, 0.02565787173807621]"
530,"A beautifully written, unforgettable novel of a troubled marriage, set against the lush landscape and political turmoil of TrinidadMonique Roffey's Orange Prize-shortlisted novel is a gripping portrait of postcolonialism that stands among great works by Caribbean writers like Jamaica Kincaid and Andrea Levy. When George and Sabine Harwood arrive in Trinidad from England, George is immediately seduced by the beguiling island, while Sabine feels isolated, heat-fatigued, and ill-at-ease. As they adapt to new circumstances, their marriage endures for better or worse, despite growing political unrest and racial tensions that affect their daily lives. But when George finds a cache of letters that Sabine has hidden from him, the discovery sets off a devastating series of consequences as other secrets begin to emerge.","['relationships', 'weddings', 'family', 'university', 'break ups', 'death', 'divorce', 'friendship']","[0.8614165186882019, 0.7169968485832214, 0.7157684564590454, 0.5431639552116394, 0.2639569640159607, 0.15877237915992737, 0.10560686886310577, 0.05200326815247536]"
531,"Someone is stalking the little town of Silence...Three victims have fallen to a killer’s savage vengeance. Each of the dead men was a successful and respected member of the community — yet each also harbored a dark secret discovered only after his murder. Were their deaths the ultimate punishment for those secrets? Or something even more sinister?Nell Gallagher has come home to Silence more than a decade after leaving one dark night with her own painful secrets. Forced now by family duty to return, she has also come home to settle with the past. But past and present tangle in a murderer’s vicious attacks, and to find the answers she needs, Nell must call on the psychic skills that drove her away years before. She must risk her own life and sanity, and regain the trust of the man she left behind so long ago.For the killer she seeks is seeking her, watching her every move, preying upon her every vulnerability — and already so close she’ll never see death coming...","['weddings', 'death', 'family', 'relationships', 'university', 'break ups', 'divorce', 'friendship']","[0.6816408038139343, 0.5972243547439575, 0.4700179696083069, 0.16682963073253632, 0.1193910539150238, 0.11271820217370987, 0.09547296911478043, 0.03171174228191376]"
532,"In the desert, an instant turns life into death and hate into love. In the desert, everything is different. Boundaries break down, and you find yourself doing things that you would never, ever have imagined.Lilly Linton finds this out the hard way: in the shadow of the pyramids, she and her boss, cold, calculating Mr Ambrose, must face death and danger together. Is the desert's heat enough to melt the cold heart of Britain's richest financier?Sequel to Robert Thier's #1 Hit 'Storm and Silence'","['death', 'relationships', 'weddings', 'family', 'university', 'divorce', 'break ups', 'friendship']","[0.660431444644928, 0.2891918420791626, 0.17664498090744019, 0.11710923910140991, 0.10725472867488861, 0.0712536945939064, 0.06046823784708977, 0.05850067362189293]"
533,"From the bestselling author of Breath of Magic and Shadows and Lace comes a beguiling new time-travel love story in the hilarious, magical voice that has made Teresa Medeiros one of the nation's most beloved romance writers.Heiress Tabitha Lennox considered her paranormal talents more a curse than a gift. So she dedicated her life to the cold, rational world of science. Until the day she examined the mysterious amulet her mother had left her and found herself catapulted seven centuries into the past, directly into the path of a rearing black charger ridden by a chain-mailed warrior.Sir Colin of Ravenshaw had returned from the Crusades to find his castle in ruins, his enemy poised to overrun the land where generations of Ravenshaws had ruled. The last thing he expected was to half trample a damsel with odd garb and even odder manners. But it is her strange talent that will create trouble beyond Colin's wildest imaginings. For everyone knows that a witch must be burned...but it is Colin's heart that is aflame, over an enchanting woman he must not love, yet cannot live without.","['weddings', 'relationships', 'family', 'university', 'death', 'break ups', 'divorce', 'friendship']","[0.6313071250915527, 0.5090276598930359, 0.5044927597045898, 0.15869785845279694, 0.14567238092422485, 0.11434866487979889, 0.09213273227214813, 0.08049435913562775]"
534,"In Chinese, peng you means friend. But in any language, all Anna knows for certain is that friendship is complicated.When Anna needs company, she turns to her books. Whether traveling through A Wrinkle in Time, or peering over My Side of the Mountain, books provide what real life cannot—constant companionship and insight into her changing world.Books, however, can’t tell Anna how to find a true friend. She’ll have to discover that on her own. In the tradition of classics like Maud Hart Lovelace’s Betsy-Tacy books and Eleanor Estes’ One Hundred Dresses, this novel subtly explores what it takes to make friends and what it means to be one.","['friendship', 'relationships', 'weddings', 'university', 'family', 'divorce', 'break ups', 'death']","[0.9268901944160461, 0.7993631958961487, 0.16210995614528656, 0.07048945873975754, 0.05132319778203964, 0.008893627673387527, 0.0058395834639668465, 0.005655840504914522]"
535,"The football field is a battlefieldThere's an extraordinary price for victory at Oregrove High. It is paid on - and off - the football field. And it claims its victims without mercy - including the most innocent bystanders. When a violent, steroid-infused, ever-escalating prank war has devastating consequences, an unlikely friendship between a talented but emotionally damaged fullback and a promising gymnast might hold the key to a school's salvation.Told in alternating voices and with unapologetic truth, Leverage illuminates the fierce loyalty, flawed justice, and hard-won optimism of two young athletes.","['weddings', 'friendship', 'death', 'family', 'break ups', 'relationships', 'divorce', 'university']","[0.6720848083496094, 0.3117349147796631, 0.14481070637702942, 0.04769488796591759, 0.015383207239210606, 0.00841590017080307, 0.00731542007997632, 0.006610419601202011]"
536,"A high-concept, fantastical espionage novel set in a world where dreams are the ultimate form of political intelligence.Livia is a dreamstrider. She can inhabit a subject's body while they are sleeping and, for a short time, move around in their skin. She uses her talent to work as a spy for the Barstadt Empire. But her partner, Brandt, has lately become distant, and when Marez comes to join their team from a neighborhing kingdom, he offers Livia the option of a life she had never dared to imagine. Livia knows of no other dreamstriders who have survived the pull of Nightmare. So only she understands the stakes when a plot against the Empire emerges that threatens to consume both the dreaming world and the waking one with misery and rage.A richly conceived world full of political intrigue and fantastical dream sequences, at its heart Dreamstrider is about a girl who is struggling to live up to the potential before her.","['weddings', 'relationships', 'family', 'university', 'death', 'break ups', 'friendship', 'divorce']","[0.7016589641571045, 0.22643835842609406, 0.20804324746131897, 0.19921967387199402, 0.1771629899740219, 0.11984696239233017, 0.09791117161512375, 0.08605260401964188]"
537,"Trying to escape the vicious King Kobra gang and a troubled life at home, eighth graders Barnie and Teresa flee the city. With only four dollars between them, they hop a bus, hoping to find a new life at the end of the line. Destination: Paradise Park. But Paradise Park turns out to be a cement-covered suburban shopping mall--not quite the paradise they had hoped for.With no money and no home to retum to, they are forced to stay. And paradise park takes them in--in more ways than one. Barnie and Teresa spend their days and nights in the climate-controlled consumer paradise of a large department store. And just when they think they can live there unnoticed forever, Teresa and Barnie find that even Paradise Park has its secrets. Even in the dead of night, they are far from alone....From the Paperback edition.","['weddings', 'family', 'relationships', 'friendship', 'break ups', 'divorce', 'death', 'university']","[0.7559753656387329, 0.5349090099334717, 0.4044346809387207, 0.24792546033859253, 0.20667046308517456, 0.0650293231010437, 0.05190281569957733, 0.04831007495522499]"
538,"Jack Rally is an eighteen-year-old boy who is evil and witty. He receives an opportunity from an older film-maker named Mr. Bigsley whose films are films of actual murders. Jack takes the opportunity and runs with it, becoming a master of his murderous profession. Jack, the brutal young man that he is, enjoys murdering and causing havoc in this setting of a more brutal future for mankind and mankind's ways. The tale can be called a psychotic masterpiece and is unique in its content, psychological base, and theme.","['death', 'weddings', 'family', 'university', 'break ups', 'divorce', 'relationships', 'friendship']","[0.9168244004249573, 0.3456660807132721, 0.19104216992855072, 0.10966848582029343, 0.10594203323125839, 0.0676286593079567, 0.022677579894661903, 0.0044865976087749004]"
539,"*The Outsiders meets Speak*A distinctive young-adult coming-of-age debut novel about grief, loss and life choices set in a modern day troublesome neighbourhood.After a devastating loss, sixteen-year-old Hayden Wilson finds herself stuck between a past she can’t let go of and a future that struggles to make sense. Gangs, drugs and shootings are the background to this fast-paced page-turner where every wrong choice leads Hayden one step closer to self-destruction. A series of events will force her on the run, wanted by the police, and Hayden will have to face the consequences of her mistakes. But will she get another chance? From a talented new voice comes an intense gripping realistic novel that tackles the issues of teenage depression through a powerful narration which will take readers through an emotional journey about an adolescent’s transition into adulthood - blending visceral experiences with authentic and poignant diary entries. “Before Life Happened” is the first book in the “Before” series.","['weddings', 'family', 'break ups', 'death', 'relationships', 'university', 'divorce', 'friendship']","[0.6861778497695923, 0.3979039788246155, 0.22092244029045105, 0.20951107144355774, 0.15749408304691315, 0.10489165037870407, 0.08518484234809875, 0.06191376596689224]"
